סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
739 ,שדה עוזיהו ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1499 ,150 ,360 ,524 ,146 ,127 ,192
740 ,אשתאול ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1100 ,100 ,246 ,395 ,128 ,90 ,141
741 ,שואבה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,594 ,27 ,107 ,193 ,77 ,80 ,110
742 ,מסילת ציון ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1021 ,77 ,209 ,365 ,126 ,113 ,131
743 ,כפר שמואל ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,941 ,79 ,231 ,308 ,131 ,67 ,125
744 ,תלמי יפה ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,719 ,29 ,145 ,234 ,127 ,90 ,94
745 ,גמזו ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,1143 ,119 ,320 ,358 ,144 ,69 ,133
746 ,ברכיה ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,1239 ,144 ,311 ,438 ,107 ,100 ,139
747 ,בית שקמה ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,893 ,82 ,213 ,310 ,99 ,60 ,129
748 ,מסלול ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,922 ,93 ,216 ,332 ,134 ,60 ,87
749 ,פטיש ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,1063 ,110 ,265 ,380 ,83 ,97 ,128
750 ,פדויים ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,479 ,27 ,93 ,183 ,58 ,55 ,63
751 ,בית מאיר ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,420 ,46 ,77 ,165 ,32 ,37 ,63
752 ,תעוז ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,654 ,54 ,173 ,191 ,77 ,52 ,107
753 ,ינוב ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,885 ,66 ,169 ,300 ,110 ,80 ,160
755 ,גורן ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,484 ,35 ,85 ,166 ,46 ,59 ,93
756 ,בית עזרא ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1110 ,97 ,209 ,363 ,137 ,132 ,172
757 ,מצליח ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1368 ,122 ,295 ,484 ,121 ,129 ,217
758 ,יד חנה ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1084 ,70 ,367 ,276 ,220 ,52 ,99
759 ,יציץ ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,889 ,114 ,173 ,309 ,96 ,75 ,122
760 ,בן זכאי ,44 ,רחובות ,44 ,רחובות ,29 ,חבל יבנה ,883 ,84 ,198 ,306 ,100 ,99 ,96
761 ,שובה ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,933 ,115 ,316 ,287 ,95 ,46 ,74
762 ,בטחה ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,858 ,74 ,173 ,297 ,101 ,102 ,111
763 ,שתולים ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,2044 ,178 ,411 ,748 ,230 ,230 ,247
764 ,כפר מרדכי ,44 ,רחובות ,44 ,רחובות ,32 ,גדרות ,698 ,46 ,182 ,193 ,97 ,64 ,116
765 ,משגב דב ,44 ,רחובות ,44 ,רחובות ,32 ,גדרות ,782 ,52 ,187 ,234 ,127 ,75 ,107
766 ,קוממיות ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,524 ,64 ,186 ,136 ,29 ,31 ,78
767 ,פורת ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,1413 ,130 ,318 ,510 ,151 ,155 ,149
768 ,כרמיה ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,794 ,76 ,188 ,288 ,105 ,50 ,87
769 ,ניר עציון ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,679 ,100 ,158 ,249 ,51 ,49 ,72
771 ,מבוא ביתר ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,1158 ,92 ,339 ,352 ,158 ,79 ,138
772 ,אמונים ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1004 ,76 ,219 ,314 ,143 ,112 ,140
773 ,עמיקם ,32 ,חדרה ,32 ,חדרה ,45 ,אלונה ,776 ,38 ,171 ,275 ,107 ,86 ,99
774 ,צוריאל ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,487 ,53 ,87 ,181 ,48 ,57 ,61
775 ,יד נתן ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,589 ,41 ,131 ,173 ,100 ,46 ,98
776 ,מחסיה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,516 ,56 ,134 ,171 ,50 ,33 ,72
777 ,נחשון ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,726 ,49 ,157 ,212 ,83 ,58 ,167
778 ,תרום ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,959 ,65 ,263 ,334 ,130 ,66 ,101
779 ,עמינדב ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,877 ,72 ,171 ,277 ,129 ,78 ,150
